CODIGO;CATEGORIA;DESCRICAO;UNIDADE;PRECO;ATUALIZADO_EM;VALIDADE_DIAS
DRN_CRIS_100;Dreno;"Mangueira cristal 1""";M;6.0;2025-12-30;7
DRN_PVC_25;Dreno;Tubo PVC esgoto 25mm;M;8.0;2025-12-30;7
DRN_PVC_32;Dreno;Tubo PVC esgoto 32mm;M;10.0;2025-12-30;7
DRN_CURV_25;Dreno;Curva 90° PVC 25mm;UN;3.5;2025-12-30;7
DRN_LUVA_25;Dreno;Luva PVC 25mm;UN;2.0;2025-12-30;7
DRN_SIFAO;Dreno;Sifão sanfonado universal;UN;15.0;2025-12-30;7
DRN_COLA;Dreno;Cola PVC (tubo 75g);UN;12.0;2025-12-30;7
DRN_ABRC;Dreno;"Abraçadeira nylon 3/4""";UN;0.5;2025-12-30;7
SUP_MF_400;Suporte;Suporte mão francesa 400mm (par);PAR;85.0;2025-12-30;7
SUP_MF_500;Suporte;Suporte mão francesa 500mm (par);PAR;110.0;2025-12-30;7
SUP_MF_600;Suporte;Suporte mão francesa 600mm (par);PAR;140.0;2025-12-30;7
SUP_CALCO;Suporte;Calço borracha antivibração (jg 4pç);JG;35.0;2025-12-30;7
SUP_EVAP;Suporte;Suporte evaporadora universal;UN;45.0;2025-12-30;7
SUP_PARF_100;Suporte;"Parafuso sextavado 3/8""x100mm c/ bucha";UN;4.5;2025-12-30;7
SUP_PARF_150;Suporte;"Parafuso sextavado 3/8""x150mm c/ bucha";UN;6.0;2025-12-30;7
SUP_BUCHA;Suporte;Bucha nylon S10;UN;0.8;2025-12-30;7
SUP_CHIP;Suporte;Parafuso chipboard 6x60mm;UN;0.5;2025-12-30;7
ACA_CAN_50;Acabamento;Canaleta PVC 50x50mm;M;18.0;2025-12-30;7
ACA_CAN_70;Acabamento;Canaleta PVC 70x70mm;M;25.0;2025-12-30;7
ACA_CAN_100;Acabamento;Canaleta PVC 100x50mm;M;32.0;2025-12-30;7
ACA_CURV_50;Acabamento;Curva 90° canaleta 50mm;UN;12.0;2025-12-30;7
ACA_TAMP_50;Acabamento;Tampa canaleta 50mm;M;8.0;2025-12-30;7
ACA_ESPUMA;Acabamento;Espuma expansiva 500ml;UN;28.0;2025-12-30;7
ACA_MASSA;Acabamento;Massa de calafetar 400g;UN;18.0;2025-12-30;7
ACA_FITA_ISO;Acabamento;Fita isolante preta 20m;UN;8.0;2025-12-30;7
ACA_FITA_AUT;Acabamento;Fita autofusão 10m;UN;25.0;2025-12-30;7
GAS_R410A;Gás/Solda;Gás refrigerante R-410A;KG;95.0;2025-12-30;7
GAS_R22;Gás/Solda;Gás refrigerante R-22;KG;75.0;2025-12-30;7
GAS_R32;Gás/Solda;Gás refrigerante R-32;KG;85.0;2025-12-30;7
GAS_N2;Gás/Solda;Nitrogênio (carga teste);UN;35.0;2025-12-30;7
SOL_PRATA;Gás/Solda;Vareta solda prata 5%;UN;18.0;2025-12-30;7
SOL_FLUXO;Gás/Solda;Fluxo para solda 100g;UN;22.0;2025-12-30;7
ALV_ARG;Alvenaria;Argamassa pronta 20kg;SC;28.0;2025-12-30;7
ALV_TIJ;Alvenaria;Tijolo cerâmico 6 furos;UN;1.2;2025-12-30;7
ALV_GESSO;Alvenaria;Gesso cola 5kg;SC;18.0;2025-12-30;7
